0.25, 0.15, 0.15, 0.15, 0.15, 0.15
0.15, 0.25, 0.15, 0.15, 0.15, 0.15
0.15, 0.15, 0.25, 0.15, 0.15, 0.15
0.15, 0.15, 0.15, 0.25, 0.15, 0.15
0.15, 0.15, 0.15, 0.15, 0.25, 0.15
0.15, 0.15, 0.15, 0.15, 0.15, 0.25
0.2, 0.2, 0.15, 0.15, 0.15, 0.15
0.15, 0.2, 0.2, 0.15, 0.15, 0.15
0.15, 0.15, 0.2, 0.2, 0.15, 0.15
0.15, 0.15, 0.15, 0.2, 0.2, 0.15
0.15, 0.15, 0.15, 0.15, 0.2, 0.2
0.2, 0.15, 0.15, 0.2, 0.15, 0.15
0.15, 0.2, 0.15, 0.15, 0.2, 0.15
0.15, 0.15, 0.2, 0.15, 0.15, 0.2
0.2, 0.15, 0.15, 0.15, 0.2, 0.15
0.15, 0.2, 0.15, 0.15, 0.15, 0.2
0.15, 0.15, 0.2, 0.15, 0.2, 0.15
0.15, 0.15, 0.15, 0.2, 0.15, 0.2
0.2, 0.15, 0.15, 0.15, 0.15, 0.2
0.15, 0.2, 0.15, 0.2, 0.15, 0.15
